tm_Vol,tm_Clo,bel_Vol,bel_Clo,nmdc_Vol,nmdc_Clo,ongc_Vol,ongc_Clo,hdfc_Vol,hdfc_Clo
5885250,439.6839599609375,34206777,14.74292946,8411661,169.25,12196564,277.8333435058594,5261402,405.9500122070313
6295237,435.1822204589844,14847327,15.18484783,9465955,178.4499969,10548424,266.7333374023437,3178516,408.0249938964844
5302879,432.3130187988281,11505186,15.23939323,9839733,177.6000061,8455851,265.6333312988281,1821194,404.75
7668503,426.228271484375,23555070,15.94292927,6132949,179.8000031,6734163,261.8666687011719,3903228,401.2999877929688
7404500,426.7229614257813,22072446,16.46717072,5410604,178.1499939,12213408,271.9666748046875,4909468,394.8250122070313
9211965,439.3376770019531,46164294,16.46111107,6547628,177.3500061,8401282,270.20001220703125,8697616,398.5750122070313
5553985,431.96673583984375,10926630,15.96262646,1525207,175.1999969,5129259,263.3666687011719,3809762,402.4500122070313
8522101,424.2000427246094,10289070,16.04747391,4845610,176.1499939,5545653,256.1666564941406,7177782,411.7250061035156
7166289,419.7972412109375,15533100,15.93939304,2350368,171.5500031,11462808,249.43333435058597,6842004,405.125
11146212,410.6454162597656,38155590,16.23838234,2740119,170.0,8421588,252.1000061035156,16403772,396.375
5511595,416.284912109375,29024721,16.89393806,6077625,176.1000061,6657531,266.3666687011719,4041566,409.7000122070313
8909589,416.433349609375,17543988,17.29696846,5671507,180.8000031,10868428,277.8333435058594,1812074,412.1749877929688
6501247,417.5711364746094,20015028,17.51616096,12107396,190.3000031,6148531,274.0,1432170,408.3500061035156
9086539,430.3836975097656,12223629,18.02777672,7742928,193.6000061,17072941,279.4333190917969,3837236,402.7250061035156
8151455,434.440185546875,18763866,18.55656433,4330281,190.8500061,37784922,310.4333190917969,5282638,407.625
7065184,443.8393859863281,10082556,19.04343414,3764844,191.25,18473593,302.1000061035156,4669960,409.7250061035156
6419352,448.5884399414063,6980688,18.64747429,4879292,189.75,12297118,293.70001220703125,2499672,408.3250122070313
5884465,441.0196228027344,6457671,18.32676697,3999049,182.3999939,12745080,284.8666687011719,3871886,410.25
4270136,444.779296875,9332631,18.26565552,2072911,184.4499969,11657637,285.7333374023437,6366024,419.9249877929688
5456728,433.5992126464844,10167201,18.39595985,1977054,176.1499939,12884002,281.76666259765625,6106442,417.7000122070313
4802036,426.2777404785156,6068601,18.44040489,2161320,179.1000061,10625092,284.6000061035156,2654940,419.5
4886836,436.2210998535156,11520729,18.37525177,2566288,179.3000031,12718878,296.7333374023437,3494060,423.2749938964844
3046408,428.5533447265625,8879409,18.39848328,2604300,174.8999939,11425387,295.1333312988281,2687314,417.4249877929688
6736247,433.9454956054688,31455468,19.7676754,2707058,177.0,25387198,280.5,2360498,412.875
4781531,433.4013366699219,11060478,19.68939209,1696515,173.5,12596755,278.3333435058594,1484884,410.9750061035156
3799762,430.9773254394531,6464700,19.68080711,1480365,175.0500031,12819609,291.7333374023437,2920422,410.7250061035156
4020018,437.4578247070313,12502314,20.2863636,2818635,180.6999969,15324336,295.29998779296875,2533112,414.5
4478733,438.546142578125,16562997,21.31818008,1577345,181.1000061,12658546,291.2333374023437,3165312,412.0499877929688
4074119,433.3518676757813,20747430,21.35252571,2770970,180.8999939,25686180,274.2333374023437,10904132,406.2000122070313
2621189,427.7618408203125,12951576,20.64696884,1437376,178.9499969,9699930,274.1333312988281,2571480,408.1000061035156
3244342,426.7229614257813,16894548,21.72929192,1309901,182.5,11039449,283.2333374023437,3088050,410.7749938964844
6431546,446.0160217285156,15306489,22.15707016,2773749,183.0500031,9622063,282.0666809082031,3820686,411.6499938964844
5826459,450.9629821777344,9436185,22.05151558,2303607,184.8500061,7481248,284.3999938964844,3813362,419.9500122070313
10138512,464.7649230957031,7847532,21.93434334,2592348,185.3000031,7705696,278.76666259765625,3031370,418.3999938964844
7059490,464.4681091308594,7678539,22.08333206,1521676,183.8999939,12160971,281.20001220703125,2815994,428.3250122070313
5301439,473.7683715820313,23519034,22.9505043,1632077,182.6000061,7460151,277.0333251953125,4065984,420.2250061035156
6757729,465.0122680664063,19511514,21.65050507,4072729,174.1999969,15089377,264.4666748046875,3366136,414.625
3927485,452.3975830078125,30887901,19.80404091,3073172,173.25,10190839,269.9666748046875,2897776,415.1499938964844
5359992,448.3410949707031,70510770,18.52626228,5027385,173.1000061,15043843,269.3333435058594,4928772,411.6749877929688
2738220,441.2174987792969,16231149,17.91969681,4215243,160.8000031,9809556,264.1000061035156,4599390,405.8999938964844
3611521,451.1608581542969,9536967,18.17222214,2945857,162.25,7419187,268.5,2460804,408.7250061035156
3609319,457.9876098632813,9713583,18.76262665,4888224,168.0500031,8149551,275.1000061035156,3046018,413.3999938964844
3592346,465.30908203125,8163540,18.76010132,3711768,169.9499969,7964590,277.3999938964844,4794650,417.875
5114632,470.2560424804688,4138101,18.57525253,1890539,172.0,9482181,275.5,2519550,415.8999938964844
4148084,470.2560424804688,7872975,18.68737221,3755747,174.4499969,6602628,273.6666564941406,3644216,416.2250061035156
2147835,469.9097595214844,4732893,18.42828178,1477469,175.6499939,2933737,271.1333312988281,4906828,413.7250061035156
4245591,481.5350646972656,7659432,18.62020111,1698775,175.1000061,4598307,272.6000061035156,3485176,419.9249877929688
4745188,479.7046813964844,5285016,18.6520195,1032218,175.4499969,5660788,270.20001220703125,3924926,418.1499938964844
3338881,480.1004333496094,2663991,18.45555496,3299766,178.25,4114102,269.9333190917969,2139300,421.125
6343512,456.2067260742188,3996432,18.16464615,1438121,176.25,4801530,267.3999938964844,5332976,417.75
8392066,449.0336608886719,7417377,17.59848404,975336,172.8999939,3835146,263.2333374023437,1942476,414.7749938964844
13595305,446.5601806640625,6019200,17.64545441,2458983,172.1499939,7261677,265.9666748046875,2342690,419.3999938964844
9472953,442.0090026855469,27799002,17.80050468,2800474,170.0500031,9600274,263.5666809082031,5950672,417.0
8882644,435.3306579589844,6694578,17.71161652,3759411,169.75,6515214,257.5666809082031,3414230,407.7250061035156
7517951,441.860595703125,2518065,17.83636284,1878233,175.5500031,3487069,261.8333435058594,3681522,406.5
4030664,451.9523620605469,3346200,17.88838387,2266843,174.4499969,8244942,270.1666564941406,3038552,410.1000061035156
4859128,442.8005065917969,6360354,18.0727272,1421866,172.9499969,4674040,264.6000061035156,1690700,405.0
4871343,437.3094177246094,11110176,17.91111183,1103010,173.8000031,4742947,266.70001220703125,1966870,405.75
6491179,428.3059997558594,9095526,18.07777786,1669697,171.3000031,4733724,262.79998779296875,3725340,398.0750122070313
8735749,441.8111267089844,4212747,18.23434258,1094272,172.0500031,3057232,262.4666748046875,2813112,396.4750061035156
14887582,468.9698181152344,3686661,18.07626152,1183700,173.4499969,6757077,270.3666687011719,3301536,403.6000061035156
6299304,468.4751281738281,2829717,17.5727272,3330740,174.1000061,8962455,268.0,3919910,406.2000122070313
6417376,479.4573364257813,2830707,17.78787804,1373833,174.4499969,9458554,273.3999938964844,5936612,413.3500061035156
8656402,498.4535827636719,4020786,18.40101051,1497112,175.75,12905989,287.5333251953125,3351084,416.1749877929688
9965688,513.3438720703125,2030490,18.39444351,1020446,176.9499969,15688128,290.1333312988281,3946428,411.9249877929688
5467442,506.81390380859375,3377385,18.10202026,1721359,176.25,8265483,282.6666564941406,4717426,410.2749938964844
5463932,507.30859375,1944756,17.96161652,1251235,174.9499969,8002251,283.9333190917969,3195240,416.25
4404241,506.121337890625,5631714,18.25707054,764541,174.3000031,7644318,284.70001220703125,5007644,423.375
4005516,503.0047607421875,4926141,18.24141312,1206828,171.5,7537042,285.8333435058594,3328032,421.7250061035156
4724406,507.2096557617188,2053755,17.84343338,1425634,170.9499969,9017682,278.6666564941406,2082628,421.25
3905433,516.1636352539062,106898022,21.03333282,940029,168.8000031,10929312,285.4333190917969,2426484,418.2999877929688
5597525,519.4780883789062,92926152,20.77575684,2444627,169.5500031,12690828,290.0,3995726,421.7749938964844
6321716,514.481689453125,24929982,21.31919098,2050258,170.6999969,5520775,293.0333251953125,2077328,420.6000061035156
4700852,510.7714538574219,9251352,20.95555496,1845254,174.4499969,6475477,296.3666687011719,5721126,429.6000061035156
